gene,connectivity_raw,connectivity_variance_normalized
TMSB10P1,0.06409852076030605,0.14781753661112262
CALU,0.16604851890307232,0.1476831826970822
GOLGA2,0.14107683799365683,0.1476617004319691
RDX,0.16474759880577441,0.14759357043628707
QPRT,0.1666378341387276,0.1472875090540063
JDP2,0.10006758230304653,0.147262465147356
EZR,0.1886072631274495,0.147089437556907
PLAC8,0.08697947428228092,0.14706813900102814
TMEM14B,0.13643966883643804,0.14702704891228174
LTBP3,0.10371626974327235,0.14699130563570642
EIF3B,0.1493347078298404,0.14698613270418243
COX7A2L,0.12509313408085312,0.14697540179148247
ASPH,0.17629217019622462,0.14692466816580635
S100P,0.15777356066645448,0.14691976663978792
PARK7,0.15430720739021017,0.14689329725688285
LEPROT,0.13033778346533034,0.1468455226171349
EXT1,0.050868079121991296,0.14683695687557224
ST13,0.13426395288379236,0.14683002408246942
SUMO2,0.11488432678780858,0.14656370090109244
MAL,0.12821956595784542,0.146531449358614
GABARAPL1,0.09943295777208704,0.14652502170069376
ANKRD13A,0.08349936037627634,0.1464645280816132
MED10,0.11656823220462073,0.14641248212429556
C17orf76-AS1,0.16913152166485868,0.14639248672105437
GATA3,0.09860833879638739,0.14637453253377788
PABPC1P3,0.11156716004753502,0.14636493960482827
COX4I1,0.18415187363070262,0.14634089640903278
NPM1,0.19412306690605055,0.14628505577123707
HIST1H2AC,0.09026636939969378,0.14623054113418857
KRT13,0.18226348227339484,0.14618511033009543
CLTB,0.14901270182014403,0.14611401400300292
CDKN2A,0.17086619515551912,0.1460167974294407
ID3,0.08711626900348592,0.14599547364491333
SNRNP70,0.12340242250041845,0.14584156791828345
AJUBA,0.060214719506528895,0.1457517536054413
IL13RA1,0.12054075773762328,0.14565914873360453
C4orf48,0.1387513767368205,0.1456488899273746
KRT80,0.09277365883441299,0.14553546135704445
ARPC1B,0.17677655181943114,0.14552427510737886
CCNL1,0.10178932959858371,0.14550471473244644
NTN4,0.07660778129206151,0.14534352469573938
CCDC6,0.09871063475135554,0.14530017372299261
PTPN14,0.1115161130859445,0.1451551700878273
ECH1,0.09972212320278487,0.1449292711837611
SLC25A3,0.1763965194116718,0.14479698869827085
PRPF6,0.12551762459433702,0.14471686813273776
BSG,0.12022882610822842,0.14462134065163493
FXR1,0.1598596826124807,0.1445084133879981
L3HYPDH,0.0778194370164829,0.1443825498189116
RPS23,0.2028999600906424,0.14436638433255766
MIER1,0.0968881065873043,0.1442820332756989
ZNF292,0.09641068074206444,0.14427498906577307
RSF1,0.1496592217728364,0.14419560474777288
GCC2,0.10957525228862451,0.14419529441665582
LRRFIP1,0.19263855536562663,0.14405850376262705
SH3BGRL,0.1050104668033439,0.14400546634777112
FAU,0.19622478057218198,0.14400315480237103
RAB32,0.07795925806121386,0.14400062044002343
LMAN2,0.12308140616689224,0.1439867084485021
CTSD,0.16912823244878664,0.14389260643035842
PEA15,0.10437376884316847,0.1437719641677544
PNRC1,0.09775137092935884,0.14376402520185258
PRKCSH,0.10333698787387742,0.1437626769152083
ARID5B,0.06719539631069477,0.14374528806036138
ACBD3,0.12178349116073832,0.14373873981294544
RCC2,0.09918465095057445,0.14369244738795334
SNAP23,0.09191385313696314,0.14365471915717354
STAT3,0.09968899521675344,0.14362609747070426
TMEM59,0.11552399582274506,0.14357597522695886
DAB2,0.08238976494865625,0.14355849182419353
SMS,0.14540245320665682,0.1434504526719846
RPL23A,0.17947071369289136,0.1434424813712721
ABCC5,0.10187779716453449,0.14342122003790636
CST3,0.14875510270136866,0.14335463984022936
RPS15A,0.20567485793442405,0.14330697544856108
SLC5A6,0.06220865927834157,0.1432799006768589
H2AFJ,0.11368488192679849,0.14327217290022193
RP11-17A4.1,0.11728498301159193,0.14324636969089832
UBE2D3,0.11495365770717286,0.14316034545953543
RPS21P4,0.09996842774787296,0.1431589399285255
ANKIB1,0.11648815836856188,0.14307955570929234
GOLPH3,0.1305913666046695,0.1430313449193433
TMEM219,0.11114923865676818,0.14298410998324323
KRT18,0.20367296989234754,0.1428973708810813
ZC3H13,0.17619576721998562,0.1428838350982953
GOLGA4,0.1630035613484321,0.14288075344243234
RP11-123J14.2,0.1197038757343182,0.1428798122482183
GNG12,0.13125880811183652,0.14282412054099491
NPC2,0.19516373758491085,0.14267146759581031
CDC42EP3,0.11309234429224262,0.14267066650897933
TOMM7,0.18901008813256395,0.14258227149375355
RAB1A,0.13179509506835005,0.14256954345064532
UBE2H,0.14710812500591264,0.14251151016421418
TLE1,0.09936714970603595,0.142480834284677
RIPK2,0.07235643599893997,0.14242999894857244
HERC4,0.1004742543402373,0.14234906467428668
RPN1,0.11581262738464804,0.14233945789262603
CIR1,0.13680626868310225,0.14230294162970997
RPS27L,0.12462070667362797,0.14230170507644974
DDX27,0.1372944828930718,0.1422755974759604
C6orf132,0.08378409641401692,0.14220383676195697
MALSU1,0.11022368579961102,0.14219580761921155
ATXN10,0.12279421935917811,0.1421613483142075
MT-ND2,0.20895393282924682,0.14215996399531958
CXCL16,0.0818530707224383,0.14215304621987243
WIPI2,0.10700756745991619,0.1421310758454957
ANXA2P2,0.07674186717260459,0.14206394516716678
TMEM165,0.095917080694279,0.14205361550191403
UBE2J1,0.09310709876036823,0.14200532666194163
